Committee	Output	Tags1	Tags2	Tags3	Tags4	Tags5	Tags6	Tags7	Tags8	Tags9	Tags10	Tags11	Tags12	Tags13	Tags14	Tags15	Tags16	Tags17	Tags18	Tags19	Tags20	Tags21	Tags22	Tags23	Tags24	Tags25	Tags26	Tags27	Tags28	Tags29	Tags30	Tags31	Tags32	Tags33	Tags34	Tags35	Tags36	Tags37	Tags38	Tags39	Tags40	Tags41	Tags42	GDFramework	OutputNumber
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Market openness	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work			25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Innovation	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Trust	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Use	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Access	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Society	25
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Market openness	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work			26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Innovation	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Trust	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Use	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Access	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Society	26
Other bodies	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Market openness	26
Other bodies	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work			26
Other bodies	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Innovation	26
Other bodies	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Trust	26
Other bodies	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Use	26
Other bodies	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Access	26
Other bodies	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Society	26
EPC	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Market openness	26
EPC	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work			26
EPC	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Innovation	26
EPC	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Trust	26
EPC	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Use	26
EPC	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Access	26
